ranking,name,undergradpop
232,keiser-university---fort-lauderdale,10275
233,louisiana-state-university,22060
234,allegheny-college,1752
235,hendrix-college,1228
236,union-university,1599
237,hobart-and-william-smith-colleges,2220
238,augustana-college---illinois,2637
239,manhattan-college,3479
240,university-of-houston,27159
241,oregon-state-university,18829
242,connecticut-college,1766
243,ohio-university,17695
244,hope-college,3019
245,john-carroll-university,2987
246,appalachian-state-university,16071
247,university-of-tennessee,20965
248,concordia-college,1997
249,california-state-university---long-beach,27507
250,agnes-scott-college,913
251,wofford-college,1663
252,south-dakota-school-of-mines--and--technology,1997
253,taylor-university,1840
254,samford-university,3266
255,spelman-college,2086
256,stony-brook-university-suny,16212
257,nebraska-wesleyan-university,1566
258,millsaps-college,797
259,san-diego-state-university,27060
260,university-of-san-francisco,6586
261,loyola-university-chicago,10681
262,university-of-southern-mississippi,10384
263,biola-university,3882
264,cedarville-university,3109
265,university-of-wisconsin---la-crosse,9094
266,letourneau-university,1301
267,university-of-the-pacific,3452
268,bradley-university,4512
269,embry-riddle-aeronautical-university---daytona-beach,5378
270,cuny-baruch-college,11598
271,digipen-institute-of-technology,964
272,west-virginia-university,20712
273,florida-international-university,26655
274,university-of-kentucky,20657
275,coe-college,1369
276,duquesne-university,5826
277,bob-jones-university,2306
278,albany-college-of-pharmacy--and--health-sciences,882
279,george-mason-university,20221
280,rockhurst-university,1445
281,university-of-california---santa-cruz,17082
282,st-norbert-college,2021
283,st-john-fisher-college,2624
284,austin-college,1204
285,muhlenberg-college,2279
286,university-of-illinois-at-chicago,17961
287,whitworth-university,2211
288,harding-university,3945
289,elon-university,6008
290,saint-josephs-university,4481
291,marist-college,5085
292,juniata-college,1400
293,university-of-colorado---denver,8671
294,berea-college,1615
295,embry-riddle-aeronautical-university---prescott,2471
296,university-of-louisville,12025
297,university-of-idaho,7166
298,seattle-pacific-university,2783
299,andrews-university,1344
300,university-of-new-hampshire,12677
301,college-of-the-ozarks,1477
302,seton-hall-university,5554
303,university-of-puget-sound,2390
304,kettering-university,1807
305,mercer-university,4135
306,pacific-lutheran-university,2655
307,kalamazoo-college,1427
308,christopher-newport-university,2655
309,truman-state-university,5134
310,loyola-university-new-orleans,2446
311,louisiana-tech-university,8090
312,seattle-university,4325
313,college-of-saint-benedict,1916
314,willamette-university,1901
315,university-of-dallas,1421
316,catholic-university-of-america,3194
317,nova-southeastern-university,3154
318,valparaiso-university,3153
319,university-of-missouri---kansas-city,6760
320,the-new-school,6181
321,goshen-college,816
